Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
RF22K9381SG,Samsung,French Door Refrigerators,French Door Refrigerators,712503,SM 4-DOOR RF22K9381SG (-595415),http://images.lowes.com/product/converted/887276/887276144382.jpg,No,,4199.0,1,4199.0,Customer Returns,"Inspected, No Refurbishment Needed"
LMXC23746D,LG,French Door Refrigerators,French Door Refrigerators,693997,LG 22.7-CU FT LMXC23746D,http://images.lowes.com/product/converted/048231/048231786973.jpg,No,,3899.0,1,3899.0,Customer Returns,"Inspected, No Refurbishment Needed"
RF28HDEDTSR,Samsung,French Door Refrigerators,French Door Refrigerators,604823,SM 27.8-CU FT RF28HDEDTSR(+805351,http://images.lowes.com/product/converted/887276/887276975306.jpg,No,,3299.0,1,3299.0,Customer Returns,"Inspected, No Refurbishment Needed"
WRV986FDEM,Whirlpool,French Door Refrigerators,French Door Refrigerators,562083,WP 25.8-CU FT WRV986FDEM,http://images.lowes.com/product/converted/883049/883049347073.jpg,No,,3299.0,1,3299.0,Customer Returns,"Inspected, No Refurbishment Needed"
LSSG3016ST,LG,Slide-In Gas Ranges,Slide-In Gas Ranges,733537,SOS LG SI GAS RNG LSSG3016ST,http://images.lowes.com/product/converted/048231/048231319614.jpg,No,,2999.0,1,2999.0,Customer Returns,"Inspected, No Refurbishment Needed"
RH25H5611SR,Samsung,Side-by-Side Refrigerators,Side-by-Side Refrigerators,648958,SM 24.7-CU FT SXS REF RH25H5611SR,http://images.lowes.com/product/converted/887276/887276073446.jpg,No,,2099.0,1,2099.0,Customer Returns,"Inspected, No Refurbishment Needed"
RF28JBEDBSR,Samsung,French Door Refrigerators,French Door Refrigerators,692022,SM 27.8-CU FT 4-DOOR RF28JBEDBSR,http://images.lowes.com/product/converted/887276/887276142364.jpg,No,,2099.0,1,2099.0,Customer Returns,"Inspected, No Refurbishment Needed"
WRF555SDFZ,Whirlpool,French Door Refrigerators,French Door Refrigerators,714644,WP 24.7-CU FT FD WRF555SDFZ,http://images.lowes.com/product/converted/883049/883049409238.jpg,No,,1999.0,1,1999.0,Customer Returns,"Inspected, No Refurbishment Needed"
KRFC300ESS,KitchenAid,French Door Refrigerators,French Door Refrigerators,735649,KA FD REF KRFC300ESS 36 INCH,http://images.lowes.com/product/converted/883049/883049360881.jpg,No,,1799.0,1,1799.0,Customer Returns,"Inspected, No Refurbishment Needed"
GSE25HGHWW,GE,Side-by-Side Refrigerators,Side-by-Side Refrigerators,623761,GE 25.4-CU FT GSE25HGHWW,http://images.lowes.com/product/converted/084691/084691260882.jpg,No,,1399.0,1,1399.0,Customer Returns,"Inspected, No Refurbishment Needed"
MBF1958FEW,Maytag,Bottom-Freezer Refrigerators,Bottom-Freezer Refrigerators,831873,MT 18.7 CUFT BM MBF1958FEW,http://images.lowes.com/product/converted/883049/883049431116.jpg,No,,1299.0,1,1299.0,Customer Returns,"Inspected, No Refurbishment Needed"
LFSS2612TE,Frigidaire,Side-by-Side Refrigerators,Side-by-Side Refrigerators,852868,FR 25.5-CU FT LFSS2612TE(-153878,http://images.lowes.com/product/converted/012505/012505645815.jpg,No,,899.0,1,899.0,Customer Returns,"Inspected, No Refurbishment Needed"
WZF34X18DW,Whirlpool,Upright Freezers,Upright Freezers,637399,WP 17.7-CU FT WZF34X18DW (-8900),http://images.lowes.com/product/converted/883049/883049341620.jpg,No,,699.0,1,699.0,Customer Returns,"Inspected, No Refurbishment Needed"
RT21M6213WW,Samsung,Top-Freezer Refrigerators,Top-Freezer Refrigerators,490499,SM 21-CU FT TM RT21M6213WW,http://images.lowes.com/product/converted/887276/887276213866.jpg,No,,699.0,1,699.0,Customer Returns,"Inspected, No Refurbishment Needed"
MEDX655DW,Maytag,Electric Dryers,Electric Dryers,629998,MT 7.0-CU FT ELEC DRYER MEDX655DW,http://images.lowes.com/product/converted/883049/883049332239.jpg,No,,699.0,1,699.0,Customer Returns,"Inspected, No Refurbishment Needed"
FFTR1814TW,Frigidaire,Top-Freezer Refrigerators,Top-Freezer Refrigerators,852884,FR 18-CU FT TM FFTR1814TW(-623739,http://images.lowes.com/product/converted/012505/012505644481.jpg,No,,579.0,1,579.0,Customer Returns,"Inspected, No Refurbishment Needed"
WRT314TFDW,Whirlpool,Top-Freezer Refrigerators,Top-Freezer Refrigerators,623777,WP 14.33-CU FT WRT314TFDW(-312995,http://images.lowes.com/product/converted/883049/883049359359.jpg,No,,549.0,1,549.0,Customer Returns,"Inspected, No Refurbishment Needed"
WFE320M0EW,WHIRLPOOL,Freestanding Electric Ranges,Freestanding Electric Ranges,673898,WP ELEC RNG WFE320M0EW (-394383),http://images.lowes.com/product/converted/883049/883049354699.jpg,No,,549.0,1,549.0,Customer Returns,"Inspected, No Refurbishment Needed"
SHX5AVF2UC,Bosch,Built-In Dishwashers,Built-In Dishwashers,534295,46 DB INTEGRATED WHITE EXCLUSIVE,http://images.lowes.com/product/converted/825225/825225917977.jpg,No,,539.0,1,539.0,Customer Returns,"Inspected, No Refurbishment Needed"
