Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
GFE28GSKSS,GE,REFRIGERATORS,French Door Refrigerators,786385,27.8-cu ft French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691819035.jpg,No,2519,1,2519,Scratch and Dent,Side Dent
LSXS26386D,LG,REFRIGERATORS,Side-by-Side Refrigerators,708951,26.1-cu ft Side-by-Side Refrigerator with Single Ice Maker and Door within Door (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231787369.jpg,No,1699,1,1699,Scratch and Dent,Front Scratch
RF260BEAESG,Samsung,REFRIGERATORS,French Door Refrigerators,730693,25.5-cu ft French Door Refrigerator with Single Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276181783.jpg,No,1699,1,1699,Scratch and Dent,Front Dent
RF260BEAESR,Samsung,REFRIGERATORS,French Door Refrigerators,186006,25.5-cu ft French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/036725/036725590175.jpg,No,1599,1,1599,Scratch and Dent,Side Dent
RF263TEAESG,Samsung,REFRIGERATORS,French Door Refrigerators,751820,24.6-cu ft French Door Refrigerator with Dual Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276117799.jpg,No,1499,1,1499,Scratch and Dent,Front Dent
RF18HFENBSR,Samsung,REFRIGERATORS,French Door Refrigerators,719466,17.51-cu ft Counter-Depth French Door Refrigerator with Single Ice Maker (Stainless Steel),http://images.lowes.com/product/converted/887276/887276038414.jpg,No,1249,1,1249,Scratch and Dent,Front Dent
WRS325FDAM,Whirlpool,SOS REFRIGERATION,Side-by-Side Refrigerators,486062,24.5-cu ft Side-By-Side Refrigerator Single (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049260891.jpg,No,1169,1,1169,Scratch and Dent,Side Dent
LRE3061BD,LG,FREESTANDING RANGES,Freestanding Electric Ranges,784517,Smooth Surface Freestanding 5-Element 6.3-cu ft Convection Electric Range (Black Stainless Steel) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/048232/048232336559.jpg,No,809,1,809,Refurbished,Refurbished
WRT318FZDM,Whirlpool,SOS REFRIGERATION,Top-Freezer Refrigerators,623782,29.75-in 18.2-cu ft Top-Freezer Refrigerator Optional (Sold Separately) (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049339016.jpg,No,619,1,619,Scratch and Dent,Front Scratch
JGBS66EEKES,GE,SOS RANGES,Freestanding Gas Ranges,652459,5-Burner Freestanding 5-cu ft Gas Range (Slate) (Common: 30-in; Actual: 30-in),http://images.lowes.com/product/converted/084691/084691817956.jpg,No,608.75,1,608.75,Scratch and Dent,Side Dent
NE59M4310SS,Samsung,FREESTANDING RANGES,Freestanding Electric Ranges,838770,Smooth Surface Freestanding 5-Element 5.9 Cu. Feet self-Cleaning Electric Range (Stainless Steel) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/887276/887276197197.jpg,No,599,1,599,Scratch and Dent,Side Dent
FGID2466QF,Frigidaire,DISHWASHERS,Built-In Dishwashers,612204,Gallery 52-Decibel Built-in Dishwasher with Hard Food Disposer (Smudge-Proof Stainless Steel) (Common: 24-in; Actual: 24-in) ENERGY STAR,http://images.lowes.com/product/converted/012505/012505114021.jpg,No,449,1,449,Scratch and Dent,Front Dent
WFC150M0EB,Whirlpool,FREESTANDING RANGES,Freestanding Electric Ranges,673894,Freestanding 4 4.8-cu ft Electric Range (Black) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/883049/883049361314.jpg,No,358,1,358,Scratch and Dent,Side Dent
