Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition
rf25hmedbsg,Samsung,REFRIGERATORS,French Door Refrigerators,714680,Flexzone 24.73-cu ft French Door Refrigerator with Single Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276139760.jpg,,,3399,1,3399,Refurbished
wrv986fdem,Whirlpool,REFRIGERATORS,French Door Refrigerators,562083,25.8-cu ft 5-Door French Door Refrigerator Dual Ice Maker (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049347073.jpg,,,3299,1,3299,Refurbished
rf28hfedtsr,Samsung,REFRIGERATORS,French Door Refrigerators,545256,28.07-cu ft French Door Refrigerator with Dual Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966076.jpg,,,2899,1,2899,Refurbished
pfe28kskss,GE Profile Series,REFRIGERATORS,French Door Refrigerators,656442,Profile 27.8-cu ft French Door Refrigerator Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691818151.jpg,Yes,n/a,2699,1,2699,Refurbished
rf260beaesg,Samsung,REFRIGERATORS,French Door Refrigerators,730693,25.5-cu ft French Door Refrigerator with Single Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276181783.jpg,,,2199,1,2199,Refurbished
rh25h5611sr,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,648958,Food ShowCase 24.7-cu ft Side-by-Side Refrigerator with Single Ice Maker and Door within Door (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276073446.jpg,,,2099,1,2099,Refurbished
ffhb2740pe,Frigidaire,REFRIGERATORS,French Door Refrigerators,623756,27.19-cu ft French Door Refrigerator with Single Ice Maker (Black) ENERGY STAR,http://images.lowes.com/product/converted/012505/012505636615.jpg,,,2049,1,2049,Refurbished
wrf555sdfz,Whirlpool,REFRIGERATORS,French Door Refrigerators,714644,24.7-cu ft 3-Door French Door Refrigerator Single Ice Maker (Fingerprint Resistant Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049409238.jpg,,,1999,1,1999,Refurbished
rs25h5111sg,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,723983,24.5-cu ft Side-by-Side Refrigerator with Single Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276164526.jpg,,,1899,1,1899,Refurbished
ffhb2750td,Frigidaire,French Door Refrigerators,French Door Refrigerators,852875,FR 26.8-CU FT FD FFHB2750TD,http://images.lowes.com/product/converted/012505/012505644177.jpg,,,1699,1,1699,Refurbished
