Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition
LFXS30766D,LG,French Door Refrigerators,French Door Refrigerators,481224,LG 29.6-CU FT LFXS30766D,http://images.lowes.com/product/converted/048231/048231786997.jpg,No,,3999,1,3999,Refurbished
LFXS30766S,LG,French Door Refrigerators,French Door Refrigerators,618009,LG29.6-CUFT3D LFXS30766S(-406499),http://images.lowes.com/product/converted/048231/048231786379.jpg,No,,3798,1,3798,Refurbished
KRMF706ESS,KitchenAid,French Door Refrigerators,French Door Refrigerators,484285,KA REF FD KRMF706ESS 26. 2 CF,http://images.lowes.com/product/converted/883049/883049347059.jpg,No,,2999,1,2999,Refurbished
RF263TEAESG,Samsung,French Door Refrigerators,French Door Refrigerators,751820,SM 24.6-CU FT 3-DR BS RF263TEAESG,http://images.lowes.com/product/converted/887276/887276117799.jpg,No,,2649,1,2649,Refurbished
WRX735SDHZ,Whirlpool,French Door Refrigerators,French Door Refrigerators,754716,WP 24.7-CU FT WRX735SDHZ(-480819,http://images.lowes.com/product/converted/883049/883049445533.jpg,No,,2199,1,2199,Refurbished
WRX735SDHZ,Whirlpool,French Door Refrigerators,French Door Refrigerators,754716,WP 24.7-CU FT WRX735SDHZ(-480819,http://images.lowes.com/product/converted/883049/883049445533.jpg,No,,2199,1,2199,Refurbished
RH25H5611SR,Samsung,Side-by-Side Refrigerators,Side-by-Side Refrigerators,648958,SM 24.7-CU FT SXS REF RH25H5611SR,http://images.lowes.com/product/converted/887276/887276073446.jpg,No,,2099,1,2099,Refurbished
LSXS26386D,LG,Side-by-Side Refrigerators,Side-by-Side Refrigerators,708951,LG 26.1-CU FT LSXS26386D,http://images.lowes.com/product/converted/048231/048231787369.jpg,No,,1999,1,1999,Refurbished
RF25HMEDBSG,Samsung,French Door Refrigerators,French Door Refrigerators,714680,SM 24.73-CU FT FD RF25HMEDBSG,http://images.lowes.com/product/converted/887276/887276139760.jpg,No,,1899,1,1899,Refurbished
RF25HMEDBSG,Samsung,French Door Refrigerators,French Door Refrigerators,714680,SM 24.73-CU FT FD RF25HMEDBSG,http://images.lowes.com/product/converted/887276/887276139760.jpg,No,,1899,1,1899,Refurbished
FGHC2331PF,Frigidaire,Side-by-Side Refrigerators,Side-by-Side Refrigerators,492537,FR 22.2-CU FT FGHC2331PF(+852872),http://images.lowes.com/product/converted/012505/012505636493.jpg,No,,1499,1,1499,Refurbished
LGHK2336TF,Frigidaire,Side-by-Side Refrigerators,Side-by-Side Refrigerators,852872,FR 22.6-CU FT LGHK2336TF(-492537,http://images.lowes.com/product/converted/012505/012505645976.jpg,No,,1499,1,1499,Refurbished
NE59J7850WS,Samsung,Double Oven Electric Ranges,Double Oven Electric Ranges,670654,SM DBL ELEC RNG NE59J7850WS,http://images.lowes.com/product/converted/887276/887276093765.jpg,No,,1099,1,1099,Refurbished
LFSS2612TF,Frigidaire,Side-by-Side Refrigerators,Side-by-Side Refrigerators,852869,FR 25.5-CU FT LFSS2612TF(-488403,http://images.lowes.com/product/converted/012505/012505645839.jpg,No,,999,1,999,Refurbished
RS25J500DSG,Samsung,Side-by-Side Refrigerators,Side-by-Side Refrigerators,730752,SM 24.52 CUFT SXS RS25J500DSG,http://images.lowes.com/product/converted/887276/887276179285.jpg,No,,999,1,999,Refurbished
RS25J500DSG,Samsung,Side-by-Side Refrigerators,Side-by-Side Refrigerators,730752,SM 24.52 CUFT SXS RS25J500DSG,http://images.lowes.com/product/converted/887276/887276179285.jpg,No,,999,1,999,Refurbished
MGR6600FZ,Maytag,Freestanding Gas Ranges,Freestanding Gas Ranges,727877,SOS MT GAS FS RNG MGR6600FZ,http://images.lowes.com/product/converted/883049/883049413594.jpg,No,,899,1,899,Refurbished
LFSS2612TE,Frigidaire,Side-by-Side Refrigerators,Side-by-Side Refrigerators,852868,FR 25.5-CU FT LFSS2612TE(-153878,http://images.lowes.com/product/converted/012505/012505645815.jpg,No,,899,1,899,Refurbished
LFSS2612TE,Frigidaire,Side-by-Side Refrigerators,Side-by-Side Refrigerators,852868,FR 25.5-CU FT LFSS2612TE(-153878,http://images.lowes.com/product/converted/012505/012505645815.jpg,No,,899,1,899,Refurbished
WRS322FDAW,Whirlpool,Side-by-Side Refrigerators,Side-by-Side Refrigerators,714641,SOS WP SXS REF WRS322FDAW,http://images.lowes.com/product/converted/883049/883049244525.jpg,No,,899,1,899,Refurbished
WFG520S0FS,Whirlpool,Freestanding Gas Ranges,Freestanding Gas Ranges,820511,SOS WP GAS FS RNG WFG520S0FS,http://images.lowes.com/product/converted/883049/883049411453.jpg,No,,899,1,899,Refurbished
FFHS2311LW,Frigidaire,Side-by-Side Refrigerators,Side-by-Side Refrigerators,184106,FR 22.0-CU FT FFHS2311LW(+852864),http://images.lowes.com/product/converted/012505/012505698354.jpg,No,,899,1,899,Refurbished
WRT311FZDB,Whirlpool,Top-Freezer Refrigerators,Top-Freezer Refrigerators,623783,WP 20.5-CU FT WRT311FZDB (-355481,http://images.lowes.com/product/converted/883049/883049322704.jpg,No,,849,1,849,Refurbished
FFTR1821TW,Frigidaire,Top-Freezer Refrigerators,Top-Freezer Refrigerators,852886,FR 18-CU FT TM FFTR1821TW(-623740,http://images.lowes.com/product/converted/012505/012505644535.jpg,No,,629,1,629,Refurbished
WRT314TFDB,Whirlpool,Top-Freezer Refrigerators,Top-Freezer Refrigerators,623778,WP 14.33-CU FT WRT314TFDB,http://images.lowes.com/product/converted/883049/883049359342.jpg,No,,549,1,549,Refurbished
