Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description (includes vendor model #),Link to sample image on lowes.com,SOS? (Y/N),SOS UPC Number (if applicable),MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
RF23J9011SG,Samsung,APPLIANCE FLOOR DISPLAYS,French Door Refrigerators,691972,22.5-cu ft 4-Door Counter-Depth French Door Refrigerator with Single Ice Maker (Black Stainless),http://images.lowes.com/product/converted/887276/887276113340.jpg,Yes,,3099,1,3099,Scratch and Dent,Side Dent
PYE22PMKES,GE Profile Series,SOS REFRIGERATION,French Door Refrigerators,723740,With Keurig K-Cup Brewing System 22.2-cu ft Counter-Depth French Door Refrigerator Single Ice Maker (Slate) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691819103.jpg,Yes,,2499,1,2499,Scratch and Dent,Side Dent
GFE28GMKES,GE,REFRIGERATORS,French Door Refrigerators,786384,27.8-cu ft French Door Refrigerator with Single Ice Maker (Slate) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691819028.jpg,No,WEX,1999,1,1999,Scratch and Dent,Side Dent
RF220NCTASR,Samsung,REFRIGERATORS,French Door Refrigerators,434627,21.8-cu ft French Door Refrigerator with Single Ice Maker (Stainless Steel),http://images.lowes.com/product/converted/036725/036725590250.jpg,No,WEX,1499,1,1499,Scratch and Dent,Side Dent
GUD27ESSJWW,GE,LAUNDRY,Stacked Laundry Centers,689427,Electric Stacked Laundry Center with 3.2-cu ft Washer and 5.9-cu ft Dryer (White),http://images.lowes.com/product/converted/084691/084691809579.jpg,No,WEX,1259,1,1259,Scratch and Dent,Side Scratch
LSXS26326W,LG,SOS REFRIGERATION,Side-by-Side Refrigerators,616432,26.2-cu ft Side-by-Side Refrigerator with Single Ice Maker (Smooth White),http://images.lowes.com/product/converted/048231/048231786331.jpg,Yes,,1259,1,1259,Scratch and Dent,Front Scratch
GSE25HMHES,GE,REFRIGERATORS,Side-by-Side Refrigerators,623763,25.4-cu ft Side-by-Side Refrigerator with Single Ice Maker (Slate) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691261049.jpg,No,WEX,1199,1,1199,Scratch and Dent,Side Dent
RS25J500DSG,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,730752,24.5-cu ft Side-by-Side Refrigerator with Single Ice Maker (Black Stainless Steel),http://images.lowes.com/product/converted/887276/887276179285.jpg,No,WEX,1199,1,1199,Scratch and Dent,Front Dent
WRS325FDAM,Whirlpool,SOS REFRIGERATION,Side-by-Side Refrigerators,486058,24.5-cu ft Side-By-Side Refrigerator Single (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049260891.jpg,No,,999,1,999,Scratch and Dent,Side Dent
RT21M6213SR,Samsung,REFRIGERATORS,Top-Freezer Refrigerators,847229,SM 21-CU FT TM RT21M6213SR,http://images.lowes.com/product/converted/887276/887276213859.jpg,No,,849,1,849,Scratch and Dent,Side Dent
WM3670HWA,LG,LAUNDRY,Front-Load Washers,790479,TWINWASH Compatible 4.5-cu ft High-Efficiency Stackable Front-Load Washer with Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231017497.jpg,No,,809,1,809,Scratch and Dent,Side Dent
DW80K5050US,Samsung,DISHWASHERS,Built-In Dishwashers,804997,48-Decibel Built-in Dishwasher (Stainless Steel) (Common: 24-in; Actual: 23.875-in) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276166391.jpg,No,,584,1,584,Scratch and Dent,Front Scratch
GTD42EASJWW,GE,LAUNDRY,Electric Dryers,751711,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691814085.jpg,No,,539,1,539,Scratch and Dent,Front Dent
WRT318FZDW,Whirlpool,SOS REFRIGERATION,Top-Freezer Refrigerators,623781,29.75-in 18.2-cu ft Top-Freezer Refrigerator Optional (Sold Separately) (White),http://images.lowes.com/product/converted/883049/883049326948.jpg,No,,499,1,499,Scratch and Dent,Side Dent
