Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),MAP Value,Qty,Ext. MAP Value,Condition
WM3997HWA,LG,LAUNDRY,Combination Washers & Dryers,671709,4.3-cu ft Ventless Combination Washer and Dryer Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231014151.jpg,No,1709,1,1709,Refurbished
LFHB2751TF,Frigidaire,REFRIGERATORS,French Door Refrigerators,852874,Frigidaire 26.8-cu ft 3-Door French Door Refrigerator Single Ice Maker (Easycare Stainless Steel) ENERGY STAR ,https://www.lowes.com/pd/Frigidaire-26-8-cu-ft-3-Door-French-Door-Refrigerator-Single-Ice-Maker-Easycare-Stainless-Steel-ENERGY-STAR/1000225693,No,1399,1,1399,Refurbished
WRF560SMYW,Whirlpool,REFRIGERATORS,French Door Refrigerators,567345,19.7-cu ft 3-Door French Door Refrigerator Single Ice Maker (White),http://images.lowes.com/product/converted/883049/883049243962.jpg,No,1259,1,1259,Refurbished
RS25J500DSR,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,712177,24.52-cu ft Side-by-Side Refrigerator with Single Ice Maker (Stainless Steel),http://images.lowes.com/product/converted/887276/887276099453.jpg,No,1099,1,1099,Refurbished
WED8500DC,Whirlpool,LAUNDRY,Electric Dryers,632523,Cabrio 8.8-cu ft Electric Dryer with Steam Cycle (Chrome Shadow) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049332369.jpg,No,899,1,899,Refurbished
WM3670HVA,LG,LAUNDRY,Front-Load Washers,726520,TWINWASH Compatible 4.5-cu ft High-Efficiency Stackable Front-Load Washer with Steam Cycle (Graphite Steel) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231017503.jpg,No,899,1,899,Refurbished
WED8000DW,Whirlpool,LAUNDRY,Electric Dryers,670012,8.8-cu ft Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049332345.jpg,No,649,1,649,Refurbished
GTD65EBSJWS,GE,LAUNDRY,Electric Dryers,751717,7.4-cu ft Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810902.jpg,No,629,1,629,Refurbished
GTW680BSJWS,GE,LAUNDRY,Top-Load Washers,751716,4.6-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810780.jpg,No,629,1,629,Refurbished
GTW460ASJWW,GE,LAUNDRY,Top-Load Washers,751710,4.2-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691812005.jpg,No,539,1,539,Refurbished
GTW460ASJWW,GE,LAUNDRY,Top-Load Washers,751710,4.2-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691812005.jpg,No,539,1,539,Refurbished
GTW460ASJWW,GE,LAUNDRY,Top-Load Washers,751710,4.2-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691812005.jpg,No,539,1,539,Refurbished
WRT314TFDW,Whirlpool,SOS REFRIGERATION,Top-Freezer Refrigerators,623777,28-in 14.33-cu ft Top-Freezer Refrigerator Optional (Sold Separately) (White),http://images.lowes.com/product/converted/883049/883049359359.jpg,No,449,1,449,Refurbished
WED4815EW,Whirlpool,LAUNDRY,Electric Dryers,670009,7-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049348247.jpg,No,399,1,399,Refurbished
HTX21EASKWW,Hotpoint,LAUNDRY,Electric Dryers,804048,6.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691810834.jpg,No,329,1,329,Refurbished
