Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition
RF22KREDBSG,Samsung,REFRIGERATION,French Door Refrigerators,733152,Food Showcase 22.4-cu ft Counter-Depth French Door Refrigerator with Single Ice Maker and Door Within Door (Black Stainless Steel) ENERGY STAR,http://images.lowes.com,Yes,48241588,4101,1,4101,New Condition
RF25HMEDBSR,Samsung,REFRIGERATION,French Door Refrigerators,511090,24.73-cu ft 4-Door French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com,Yes,35034864,3698,1,3698,New Condition
RF23M8570SR,Samsung,REFRIGERATION,REFERIGERATION,845495,22.2 cu ft 4- door counter-depth french door,http://images.lowes.com,Yes,69937980,2799,1,2799,New Condition
B21CL80SNS,Bosch,Other,French Door Refrigerators,733111,20.7-cu ft French Door Refrigerator (Stainless Steel) ENERGY STAR,http://images.lowes.com,Yes,22636051,2799,1,2799,New Condition
NV51K6650DG,Samsung,BUILT IN COOKING,Double Electric Wall Ovens,732204,Steam Cook Convection Multi-Fan European Element Double Electric Wall Oven (Black Stainless Steel) (Common: 30-in; Actual: 28.75-in),http://images.lowes.com,Yes,70280161,2759,1,2759,New Condition
RF23HCEDBSR,Samsung,REFRIGERATION,French Door Refrigerators,598752,22.5-cu ft Counter-Depth French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com,Yes,69378554,2699,1,2699,New Condition
RF23HCEDBSR,Samsung,REFRIGERATION,French Door Refrigerators,598752,22.5-cu ft Counter-Depth French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com,Yes,61406619,2699,1,2699,New Condition
LFXC24726D,LG,REFRIGERATION,French Door Refrigerators,481240,24-cu ft Counter-Depth French Door Refrigerator with Single Ice Maker (Black Stainless) ENERGY STAR,http://images.lowes.com,Yes,35034844,2299,1,2299,New Condition
LFXS24623D,LG,REFRIGERATION,French Door Refrigerators,709306,24.2-cu ft French Door Refrigerator with Single Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com,Yes,68620528,1999,1,1999,New Condition
NE58K9850WS,Samsung,FREESTANDING RANGES,Double Oven Electric Ranges,712345,Slide-In with Wi-Fi 30-in Smooth Surface 5 3.3-cu ft/2.4-cu ft Double Oven Convection Electric Range (Stainless Steel),http://images.lowes.com,Yes,70041764,1999,1,1999,New Condition
HE18054U,BOSCH,RANGES,RANGE,472505,800 Series Smooth Surface 5-element,http://images.lowes.com,Yes,68623670,1899,1,1899,New Condition
LSWS306ST,LG,BUILT IN COOKING,Single Electric Wall Ovens,733540,Studio Convection Single Electric Wall Oven (Stainless Steel) (Common: 30-in; Actual 29.75-in),http://images.lowes.com,Yes,66525170,1649,1,1649,New Condition
RF263BEAESR,Samsung,REFRIGERATION,French Door Refrigerators,580483,25.6-cu ft French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com,Yes,65220788,1399,1,1399,New Condition
LDE4415ST,LG,RANGES,Double Oven Electric Ranges,697156,EasyClean 30-in Smooth Surface 5 4.3-cu ft/3-cu ft Double Oven Convection Electric Range (Stainless Steel),htpp://images.lowes.com,Yes,69215014,1299,1,1299,New Condition
LRE3061BD,LG,FREESTANDING RANGES,Freestanding Electric Ranges,784517,Smooth Surface Freestanding 5-Element 6.3-cu ft Convection Electric Range (Black Stainless Steel) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com,Yes,71835066,999,1,999,New Condition
RF220NCTASG,Samsung,REFRIGERATION,French Door Refrigerators,772684,21.6-cu ft French Door Refrigerator with Single Ice Maker (Black Stainless Steel),http://images.lowes.com,Yes,67474187,999,1,999,New Condition
rf260beaesg,Samsung,REFRIGERATION,French Door Refrigerators,730693,25.5-cu ft French Door Refrigerator with Single Ice Maker (Black Stainless Steel) ENERGY STAR,HTTp://images.lowes.com,Yes,22643835,999,1,999,New Condition
RS25J500DBC,Samsung,REFRIGERATION,Side-by-Side Refrigerators,558406,24.52-cu ft Side-by-Side Refrigerator with Single Ice Maker (Black),http://images.lowes.com,Yes,69306688,899,1,899,New Condition
LDF5545WW,LG,DISHWASHERS,Built-In Dishwashers,636840,48-Decibel Built-in Dishwasher (White) (Common: 24-in; Actual: 23.75-in) ENERGY STAR,http://images.lowes.com,Yes,67816425,584,1,584,New Condition
NE59M4310SW,Samsung,RANGES,Smooth surface Freestanding ,840003,SOS SM ELEC RANGE NE59M4310SW,http://images.lowes.com,Yes,64819634,449,1,449,New Condition
LMV2031ST,LG,OTR MICROWAVES,Over-the-Range Microwaves,124292,2-cu ft Over-range-mircowave ,http://images.lowes.com,YES,69215014,249,1,249,New Condition
