Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
LMXS30776S,LG,REFRIGERATORS,French Door Refrigerators,80345,29.7-cu ft French Door Refrigerator with Single Ice Maker and Door within Door (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231786201.jpg,No,2799,1,2799,Scratch and Dent,Side Dent
RF28JBEDBSR,Samsung,REFRIGERATORS,French Door Refrigerators,692023,Food Showcase 27.8-cu ft French Door Refrigerator with Single Ice Maker and Door Within Door (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276142364.jpg,No,2299,1,2299,Scratch and Dent,Side Dent
RF23HTEDBSR,Samsung,SOS REFRIGERATION,French Door Refrigerators,651260,22.5-cu ft Counter-Depth French Door Refrigerator with Single Ice Maker and Door within Door (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276047768.jpg,No,2199,1,2199,Scratch and Dent,Front Dent
RF28HMEDBSR,Samsung,REFRIGERATORS,French Door Refrigerators,545257,28.15-cu ft 4-Door French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966052.jpg,No,1999,1,1999,Scratch and Dent,Side Dent
RF28HMEDBSR,Samsung,REFRIGERATORS,French Door Refrigerators,545257,28.15-cu ft 4-Door French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966052.jpg,No,1999,1,1999,Scratch and Dent,Front Dent
RF28HFEDTSR,Samsung,REFRIGERATORS,French Door Refrigerators,545256,28.07-cu ft French Door Refrigerator with Dual Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966076.jpg,No,1799,1,1799,Scratch and Dent,Front Dent
RF28HFEDTSR,Samsung,REFRIGERATORS,French Door Refrigerators,545256,28.07-cu ft French Door Refrigerator with Dual Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966076.jpg,No,1799,1,1799,Scratch and Dent,Front Dent
RF28HFEDTSR,Samsung,REFRIGERATORS,French Door Refrigerators,545256,28.07-cu ft French Door Refrigerator with Dual Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966076.jpg,No,1799,1,1799,Scratch and Dent,Side Dent
RF28HFEDTSR,Samsung,REFRIGERATORS,French Door Refrigerators,545256,28.07-cu ft French Door Refrigerator with Dual Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966076.jpg,No,1799,1,1799,Scratch and Dent,Front Dent
RF260BEAESR,Samsung,REFRIGERATORS,French Door Refrigerators,186006,25.5-cu ft French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/036725/036725590175.jpg,No,1099,1,1099,Scratch and Dent,Front Dent
RS25J500DSR,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,712177,24.52-cu ft Side-by-Side Refrigerator with Single Ice Maker (Stainless Steel),http://images.lowes.com/product/converted/887276/887276099453.jpg,No,999,1,999,Scratch and Dent,Front Dent
WRS325FDAM,Whirlpool,SOS REFRIGERATION,Side-by-Side Refrigerators,486058,24.5-cu ft Side-By-Side Refrigerator Single (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049260891.jpg,No,899,1,899,Scratch and Dent,Side Dent
GTS21FMKES,GE,REFRIGERATORS,Top-Freezer Refrigerators,533481,GE 20.8-cu ft Top-Freezer Refrigerator (Slate),https://mobileimages.lowes.com/product/converted/084691/084691822431.jpg,No,699,1,699,Scratch and Dent,Side Dent
GTE18LMHES,GE,REFRIGERATORS,Top-Freezer Refrigerators,383143,17.5-cu ft Top-Freezer Refrigerator (Slate) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810599.jpg,No,649,1,649,Scratch and Dent,Side Dent
JGB700EEJES,GE,SOS RANGES,Freestanding Gas Ranges,697165,5-Burner Freestanding 5-cu ft Self-Cleaning with Steam Convection Gas Range (Slate) (Common: 30-in; Actual: 30-in),http://images.lowes.com/product/converted/084691/084691811398.jpg,No,649,1,649,Scratch and Dent,Side Dent
LRE3061ST,LG,FREESTANDING RANGES,Freestanding Electric Ranges,784518,Smooth Surface Freestanding 5-Element 6.3-cu ft Convection Electric Range (Stainless Steel) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/048232/048232330991.jpg,No,599,1,599,Scratch and Dent,Side Dent
NE59M4320SS,Samsung,FREESTANDING RANGES,Freestanding Electric Ranges,845535,SM FS ELEC RNG NE59M4320SS,http://images.lowes.com/product/converted/887276/887276197234.jpg,No,579,1,579,Scratch and Dent,Side Dent
