Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition
DVE52M8650V,Samsung,LAUNDRY,Electric Dryers,835608,SM E DRYER DVE52M8650V (-780066,http://images.lowes.com/product/converted/887276/887276196879.jpg,No,,999,1,999,Refurbished
DVE52M7750V,Samsung,LAUNDRY,Electric Dryers,844405,SM E DRYER DVE52M7750V (-669550,http://images.lowes.com/product/converted/887276/887276196855.jpg,No,,999,1,999,Refurbished
DV42H5200EW,Samsung,LAUNDRY,Electric Dryers,565998,7.5-cu ft Stackable Electric Dryer with Steam Cycle (White),http://images.lowes.com/product/converted/887276/887276963211.jpg,No,,899,1,899,Refurbished
DV42H5200EW,Samsung,LAUNDRY,Electric Dryers,565998,7.5-cu ft Stackable Electric Dryer with Steam Cycle (White),http://images.lowes.com/product/converted/887276/887276963211.jpg,No,,899,1,899,Refurbished
WF42H5200AW,Samsung,LAUNDRY,Front-Load Washers,565997,4.2-cu ft High-Efficiency Stackable Front-Load Washer with Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276962993.jpg,No,,899,1,899,Refurbished
MEDB765FW,Maytag,LAUNDRY,Electric Dryers,844769,7.4-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049438603.jpg,No,,799,1,799,Refurbished
WM3270CW,LG,LAUNDRY,Front-Load Washers,794816,LG FL WASHER WM3270CW (-645120),http://images.lowes.com/product/converted/048231/048231017527.jpg,No,,799,1,799,Refurbished
WM3270CW,LG,LAUNDRY,Front-Load Washers,794816,LG FL WASHER WM3270CW (-645120),http://images.lowes.com/product/converted/048231/048231017527.jpg,No,,799,1,799,Refurbished
DLE3170W,LG,LAUNDRY,Electric Dryers,645121,7.4-cu ft Stackable Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231014748.jpg,No,,799,1,799,Refurbished
WF42H5000AW,Samsung,LAUNDRY,Front-Load Washers,566001,4.2-cu ft High-Efficiency Stackable Front-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276962887.jpg,No,,799,1,799,Refurbished
DVE50M7450W,Samsung,LAUNDRY,Electric Dryers,835593,SM E DRYER DVE50M7450W (-780072,http://images.lowes.com/product/converted/887276/887276196978.jpg,No,,799,1,799,Refurbished
WT1501CW,LG,LAUNDRY,Top-Load Washers,745138,4.5-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231015905.jpg,No,,749,1,749,Refurbished
WA45M7050AW,Samsung,LAUNDRY,Top-Load Washers,835591,SM TL WASHER WA45M7050AW (-565954,http://images.lowes.com/product/converted/887276/887276196398.jpg,No,,699,1,699,Refurbished
WA52M7750AW,Samsung,SOS LAUNDRY - FRONT LOAD WASHERS,Front-Load Washers,835641,WA52M7750AW,http://images.lowes.com/product/converted/887276/887276196435.jpg,No,,649,1,649,Refurbished
GTD65GBSJWS,GE,LAUNDRY,Gas Dryers,751718,7.4-cu ft Gas Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691811022.jpg,No,,639,1,639,Refurbished
WTW8040DW,Whirlpool,LAUNDRY,Top-Load Washers,670298,5.3-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049346458.jpg,No,,629,1,629,Refurbished
MEDX655DW,Maytag,LAUNDRY,Electric Dryers,629998,Bravos 7-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049332239.jpg,No,,499,1,499,Refurbished
MEDX655DW,Maytag,LAUNDRY,Electric Dryers,629998,Bravos 7-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049332239.jpg,No,,499,1,499,Refurbished
MEDX655DW,Maytag,LAUNDRY,Electric Dryers,629998,Bravos 7-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049332239.jpg,No,,499,1,499,Refurbished
MVWX655DW,Maytag,LAUNDRY,Top-Load Washers,637743,Bravo 5-cu-ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049330846.jpg,No,,499,1,499,Refurbished
WED4815EW,Whirlpool,LAUNDRY,Electric Dryers,670009,7-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049348247.jpg,No,,499,1,499,Refurbished
MVWX655DW,Maytag,LAUNDRY,Top-Load Washers,637743,Bravo 5-cu-ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049330846.jpg,No,,499,1,499,Refurbished
WED4815EW,Whirlpool,LAUNDRY,Electric Dryers,670009,7-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049348247.jpg,No,,499,1,499,Refurbished
GTW485ASJWS,GE,LAUNDRY,Top-Load Washers,751713,4.9-cu ft Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810711.jpg,No,,479,1,479,Refurbished
WTW5000DW,Whirlpool,LAUNDRY,Top-Load Washers,629986,Cabrio 5-cu-ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049330839.jpg,No,,469,1,469,Refurbished
HTW200ASKWW,Hotpoint,LAUNDRY,Top-Load Washers,804047,3.8-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691810650.jpg,No,,399,1,399,Refurbished
GTW330ASKWW,GE,LAUNDRY,Top-Load Washers,782267,3.8-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691819462.jpg,No,,399,1,399,Refurbished
RED4516FW,Roper,LAUNDRY,Electric Dryers,794809,6.5-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049414768.jpg,No,,399,1,399,Refurbished
DV40J3000EW,Samsung,LAUNDRY,Electric Dryers,669553,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/887276/887276086958.jpg,No,,399,1,399,Refurbished
RTW4516FW,Roper,LAUNDRY,Top-Load Washers,794808,3.5-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049415710.jpg,No,,399,1,399,Refurbished
