Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
NX58K7850SS,Samsung,FREESTANDING RANGES,Double Oven Gas Ranges,780434,Flexduo 30-in 5-Burner 3.4-cu ft/2.3-cu ft Self-Cleaning Double Oven Convection Gas Range (Stainless Steel),http://images.lowes.com/product/converted/887276/887276132112.jpg,No,1499,1,1499,Scratch and Dent,Side Dent
WRS571CIDM,Whirlpool,SOS REFRIGERATION,Side-by-Side Refrigerators,621375,20.6-cu ft Counter-Depth Side-By-Side Refrigerator Single (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049328652.jpg,No,1199,1,1199,Scratch and Dent,Rear Dent
RF260BEAESG,Samsung,REFRIGERATORS,French Door Refrigerators,730693,25.5-cu ft French Door Refrigerator with Single Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276181783.jpg,No,1099,1,1099,Scratch and Dent,Front Dent
GSS25GSHSS,GE,SOS REFRIGERATION,Side-by-Side Refrigerators,651362,25.4-cu ft Side-by-Side Refrigerator with Single Ice Maker (Stainless Steel),http://images.lowes.com/product/converted/084691/084691808893.jpg,No,999,1,999,Scratch and Dent,Side Dent
SHXM78W55N,Bosch,SOS DISHWASHERS,Built-In Dishwashers,814067,800 Series 24-in 42-Decibel Built-in Dishwasher (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/825225/825225923008.jpg,No,899,1,899,Scratch and Dent,Top Dent
WTW8040DW,Whirlpool,LAUNDRY,Top-Load Washers,670298,5.3-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049346458.jpg,No,629,1,629,Refurbished,Refurbished
WF42H5200AF,Samsung,LAUNDRY,Front-Load Washers,565989,4.2-cu ft High-Efficiency Stackable Front-Load Washer with Steam Cycle (Merlot) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276962986.jpg,No,599,1,599,Refurbished,Refurbished
WRT314TFDW,Whirlpool,SOS REFRIGERATION,Top-Freezer Refrigerators,623777,Whirlpool 14.3-cu ft Top-Freezer Refrigerator (White) ,https://www.lowes.com/pd/Whirlpool-14-3-cu-ft-Top-Freezer-Refrigerator-White/50284165,No,494,1,494,Scratch and Dent,Side Dent
WA45M7050AW,Samsung,LAUNDRY,Top-Load Washers,835591,SM TL WASHER WA45M7050AW (-565954,http://images.lowes.com/product/converted/887276/887276196398.jpg,No,479,1,479,Refurbished,Refurbished
WA45M7050AW,Samsung,LAUNDRY,Top-Load Washers,835591,SM TL WASHER WA45M7050AW (-565954,http://images.lowes.com/product/converted/887276/887276196398.jpg,No,479,1,479,Refurbished,Refurbished
LFEF3018TW,Frigidaire,FREESTANDING RANGES,RANGE,848337,FR FS EL RNG LFEF3018TW(-345728),http://images.lowes.com/product/converted/012505/012505511301.jpg,No,449,1,449,Refurbished,Refurbished
GTW460ASJWW,GE,LAUNDRY,Top-Load Washers,751710,4.2-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691812005.jpg,No,449,1,449,Refurbished,Refurbished
FFTR1814TW,Frigidaire,REFRIGERATORS,Top-Freezer Refrigerators,852884, 18-cu ft Top-Freezer Refrigerator ,https://www.lowes.com/pd/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-White/1000225701,No,429,1,429,Refurbished,Refurbished
GTD33EASKWW,GE,LAUNDRY,DRYER ,782268,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691819486.jpg,No,399,1,399,Refurbished,Refurbished
ME18H704SFS,Samsung,OTR MICROWAVES,Over-the-Range Microwaves,589359,1.8-cu ft Over-The-Range Microwave with Sensor Cooking Controls (Stainless Steel) (Common: 30-in; Actual: 29.87-in),http://images.lowes.com/product/converted/887276/887276689197.jpg,No,219,1,219,Scratch and Dent,Side Dent
