Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition
MED5500FC,MAYTAG,SOS LAUNDRY - DRYERS,Electric Dryers,795301,7.4-cu ft Stackable Electric Dryer with Steam Cycle (Metallic Slate) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049385310.jpg,No,68165821/NEW,1099,1,1099,New Condition
DVE52M8650V,Samsung,LAUNDRY,LAUNDRY,835608,SM E DRYER DVE52M8650V (-780066,http://images.lowes.com/product/converted/887276/887276196879.jpg,No,,999,1,999,New Condition
WM8100HWA,LG,SOS LAUNDRY - FRONT LOAD WASHERS,Front-Load Washers,796657,TWINWash Compatible 5.2-cu ft High-Efficiency Stackable Front-Load Washer with Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231017459.jpg,No,66525170/NEW,949,1,949,New Condition
DLEX8100W,LG,SOS LAUNDRY - DRYERS,Electric Dryers,796658,9-cu ft Stackable Electric Dryer with Steam Cycle (White),http://images.lowes.com/product/converted/048231/048231018043.jpg,No,66525170/NEW,949,1,949,New Condition
DV50K7500EV,Samsung,LAUNDRY,Electric Dryers,780048,7.5-cu ft Stackable Electric Dryer with Steam Cycle (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276135946.jpg,No,35034883/NEW,899,1,899,New Condition
WW22K6800AW,Samsung,SOS LAUNDRY - FRONT LOAD WASHERS,Front-Load Washers,783187,2.2-cu ft High-Efficiency Stackable Front-Load Washer with Steam Cycle (White),http://images.lowes.com/product/converted/887276/887276126876.jpg,No,58763122/NEW,899,1,899,New Condition
WGD8540FW,Whirlpool,LAUNDRY,Gas Dryers,803263,7.4-cu ft Stackable Gas Dryer with Steam Cycle (White),http://images.lowes.com/product/converted/883049/883049421520.jpg,No,68168108/NEW,749,1,749,New Condition
WT7600HWA,LG,SOS LAUNDRY - TOP LOAD WASHERS,Top-Load Washers,780244,5.2-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231016629.jpg,No,69126152/NEW,749,1,749,New Condition
WT1501CW,LG,LAUNDRY,Top-Load Washers,745138,4.5-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231015905.jpg,No,67733037/NEW,749,1,749,New Condition
WT7600HWA,LG,SOS LAUNDRY - TOP LOAD WASHERS,Top-Load Washers,780244,5.2-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231016629.jpg,No,70533573/NEW,749,1,749,New Condition
DLEX7600WE,LG,SOS LAUNDRY - DRYERS,Electric Dryers,796665,7.3-cu ft Electric Dryer Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231016698.jpg,No,69215014/NEW,699,1,699,New Condition
WT7200CW,LG,LAUNDRY,LAUNDRY,845039,LG TL WASHER WT7200CW (-481181),http://images.lowes.com/product/converted/048231/048231020275.jpg,No,67325383/NEW,599,1,599,New Condition
DVE52M7750V,Samsung,LAUNDRY,LAUNDRY,844405,Samsung 7.4cu Electric dryer (Black),http://images.lowes.com/product/converted/887276/887276196855.jpg,No,64336868/NEW,599,1,599,New Condition
WF42H5200AP,Samsung,LAUNDRY,Front-Load Washers,608391,4.2-cu ft High-Efficiency Stackable Front-Load Washer with Steam Cycle (Platinum) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276963082.jpg,No,67975887/NEW,599,1,599,New Condition
MEDX655DW,Maytag,LAUNDRY,Electric Dryers,629998,Bravos 7-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049332239.jpg,No,68379611/NEW,449,1,449,New Condition
WTW5000DW,Whirlpool,LAUNDRY,Top-Load Washers,629986,Cabrio 5-cu-ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049330839.jpg,No,71558048/NEW,399,1,399,New Condition
WTW5000DW,Whirlpool,LAUNDRY,Top-Load Washers,629986,Cabrio 5-cu-ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049330839.jpg,No,71803966/NEW,399,1,399,New Condition
WA40J3000AW,Samsung,LAUNDRY,Top-Load Washers,669552,4-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/887276/887276086989.jpg,No,67760076/NEW,379,1,379,New Condition
WA40J3000AW,Samsung,LAUNDRY,Top-Load Washers,669552,4-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/887276/887276086989.jpg,No,67817772/NEW,379,1,379,New Condition
WE272NV,Samsung,LAUNDRY,LAUNDRY,857419,SAMSUNG FLEX SYSTEM BLACK PEDESTAL,http;//images.lowes.com,No,66442018/NEW,140,1,140,New Condition
WE272NV,Samsung,LAUNDRY,LAUNDRY,857419,SAMSUNG FLEX SYSTEM BLACK PEDESTAL,http;//images.lowes.com,No,66442018/NEW,140,1,140,New Condition
