Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
MHW5500FW,Maytag,LAUNDRY,Front-Load Washers,780035,27-in 5.2-cu ft High-Efficiency Stackable Front-Load Washer Steam Cycle (White),http://images.lowes.com/product/converted/883049/883049385112.jpg,No,899,1,899,Scratch and Dent,Side Dent
MED5500FW,Maytag,LAUNDRY,Electric Dryers,780036,7.4-cu ft Stackable Electric Dryer Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049385297.jpg,No,899,1,899,Scratch and Dent,Side Dent
DLEX7600KE,LG,SOS LAUNDRY - DRYERS,Electric Dryers,780239,7.3-cu ft Electric Dryer with Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231016735.jpg,No,849,1,849,Scratch and Dent,Side Dent
DLEX3370V,LG,LAUNDRY,Electric Dryers,726522,7.4-cu ft Stackable Electric Dryer with Steam Cycle (Graphite Steel) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231014090.jpg,No,749,1,749,Scratch and Dent,Top Scratch
WFW8540FW,Whirlpool,LAUNDRY,Front-Load Washers,803261,4.5-cu ft High-Efficiency Stackable Front-Load Washer Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049421407.jpg,No,699,1,699,Scratch and Dent,Side Dent
WED8540FW,Whirlpool,LAUNDRY,Electric Dryers,803262,7.4-cu ft Stackable Electric Dryer with Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049421506.jpg,No,699,1,699,Scratch and Dent,Top Scratch
WA52M7750AV,Samsung,LAUNDRY,Top-Load Washers,844404,SM TL WASHER WA52M7750AV (-669549,http://images.lowes.com/product/converted/887276/887276196428.jpg,No,699,1,699,Scratch and Dent,Side Dent
WM3270CW,LG,LAUNDRY,Electric Dryers,794816,LG FL WASHER WM3270CW (-645120),http://images.lowes.com/product/converted/048231/048231017527.jpg,No,649,1,649,Scratch and Dent,Side Dent
WTW7040DW,Whirlpool,LAUNDRY,Top-Load Washers,670296,Cabrio 4.8-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049346441.jpg,No,629,1,629,Scratch and Dent,Side Dent
WED7000DW,Whirlpool,LAUNDRY,Electric Dryers,670010,7-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049332338.jpg,No,629,1,629,Scratch and Dent,Side Dent
WTW7040DW,Whirlpool,LAUNDRY,Top-Load Washers,670296,Cabrio 4.8-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049346441.jpg,No,629,1,629,Scratch and Dent,Side Dent
WF42H5200AF,Samsung,LAUNDRY,Front-Load Washers,565989,4.2-cu ft High-Efficiency Stackable Front-Load Washer with Steam Cycle (Merlot) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276962986.jpg,No,599,1,599,Scratch and Dent,Side Dent
DV42H5200EP,Samsung,LAUNDRY,Electric Dryers,608181,7.5-cu ft Stackable Electric Dryer with Steam Cycle (Platinum),http://images.lowes.com/product/converted/887276/887276963204.jpg,No,599,1,599,Scratch and Dent,Front Dent
DV42H5200EW,Samsung,LAUNDRY,Electric Dryers,565998,7.5-cu ft Stackable Electric Dryer with Steam Cycle (White),http://images.lowes.com/product/converted/887276/887276963211.jpg,No,549,1,549,Scratch and Dent,Top Dent
WA50M7450AW,Samsung,LAUNDRY,Top-Load Washers,835592,SM TL WASHER WA50M7450AW (-780071,http://images.lowes.com/product/converted/887276/887276196411.jpg,No,549,1,549,Scratch and Dent,Side Dent
DLE1501W,LG,LAUNDRY,Electric Dryers,745139,7.3-cu ft Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231015912.jpg,No,529,1,529,Scratch and Dent,Side Dent
WT1501CW,LG,LAUNDRY,Top-Load Washers,745138,4.5-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231015905.jpg,No,529,1,529,Scratch and Dent,Side Dent
DV42H5000EW,Samsung,LAUNDRY,Electric Dryers,566002,7.5-cu ft Stackable Electric Dryer (White),http://images.lowes.com/product/converted/887276/887276963167.jpg,No,499,1,499,Scratch and Dent,Top Scratch
GTW485ASJWS,GE,LAUNDRY,Top-Load Washers,751713,4.9-cu ft Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810711.jpg,No,479,1,479,Scratch and Dent,Side Dent
GTW460ASJWW,GE,LAUNDRY,Top-Load Washers,751710,4.2-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691812005.jpg,No,449,1,449,Scratch and Dent,Side Dent
GTW460ASJWW,GE,LAUNDRY,Top-Load Washers,751710,4.2-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691812005.jpg,No,449,1,449,Scratch and Dent,Side Dent
GTD42EASJWW,GE,LAUNDRY,Electric Dryers,751711,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691814085.jpg,No,449,1,449,Scratch and Dent,Side Dent
WA40J3000AW,Samsung,LAUNDRY,Top-Load Washers,669552,4-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/887276/887276086989.jpg,No,399,1,399,Scratch and Dent,Side Dent
GTW330ASKWW,GE,LAUNDRY,Top-Load Washers,782267,3.8-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691819462.jpg,No,399,1,399,Scratch and Dent,Side Dent
DV40J3000EW,Samsung,LAUNDRY,Electric Dryers,669553,7.2-cu ft Electric Dryer (White),https://mobileimages.lowes.com/product/converted/887276/887276086958.jpg,No,399,1,399,Scratch and Dent,Top Dent
HTW200ASKWW,Hotpoint,LAUNDRY,Top-Load Washers,804047,3.8-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691810650.jpg,No,329,1,329,Scratch and Dent,Front Dent
HTX21EASKWW,Hotpoint,LAUNDRY,Electric Dryers,804048,6.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691810834.jpg,No,329,1,329,Scratch and Dent,Side Dent
RTW4516FW,Roper,LAUNDRY,Top-Load Washers,794808,3.5-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049415710.jpg,No,299,1,299,Scratch and Dent,Top Scratch
WE357A0V,Samsung,LAUNDRY,Laundry Pedestals,782476,14.2-in x 27-in Laundry Pedestal with Storage Drawer,http://images.lowes.com/product/converted/887276/887276139043.jpg,No,279,1,279,Scratch and Dent,Side Dent
WE357A0W,Samsung,LAUNDRY,Laundry Pedestals,334996,14.2-in x 27-in White Laundry Pedestal with Storage Drawer,http://images.lowes.com/product/converted/036725/036725568471.jpg,No,259,1,259,Scratch and Dent,Side Dent
WDP4W,LG,LAUNDRY,Laundry Pedestals,358815,13.6-in x 27-in Dryer Pedestal with Storage Drawer,http://images.lowes.com/product/converted/048231/048231011211.jpg,No,149,1,149,Scratch and Dent,Side Dent
