Model Number,Slice,Color Code,Gas? (disregard),Char Count,CARTON_DESC,PRODUCT_DESC,LINE_DESC,LENGTH,WIDTH,HEIGHT,WEIGHT,POINTS,BRAND_CD,BRAND_DESC,UPC_CD,Column1,Flat UPC,,backup
FRT17CRAD,,,Electric,9,17 CUBE ANDERSON,16' & OVER REFRIG TM,15 & 17 CU FT,2.79,2.54,5.54,194,1.23,F,FRIGIDAIRE,0 12505 72060 4,012505720604,012505720604,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17CRAW,,,Electric,9,17 CUBE ANDERSON,16' & OVER REFRIG TM,15 & 17 CU FT,2.79,2.54,5.54,194,1.23,F,FRIGIDAIRE,0 12505 72059 8,012505720598,012505720598,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17CRBD,,,Electric,9,17 CUBE,16' & OVER REFRIG TM,15 & 17 CU FT,2.73,2.88,5.44,225,1.23,F,FRIGIDAIRE,0 12505 65533 3,012505655333,012505655333,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17CRBW,,,Electric,9,17 CUBE,16' & OVER REFRIG TM,15 & 17 CU FT,2.73,2.88,5.44,225,1.23,F,FRIGIDAIRE,0 12505 65532 6,012505655326,012505655326,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17G4AQ,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73804 3,012505738043,012505738043,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17G4AW,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73803 6,012505738036,012505738036,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17G4BD,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 74133 3,012505741333,012505741333,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17G4BQ,,,Electric,9,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE,0 12505 73820 3,012505738203,012505738203,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17G4BW,,,Electric,9,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE,0 12505 73819 7,012505738197,012505738197,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17G4JQ,,,Electric,9,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE,0 12505 67639 0,012505676390,012505676390,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17G4JW,,,Electric,9,17'REFRIGERATOR,16' & OVER REFRIG TM,15 & 17 CU FT,2.63,2.58,5.55,188,1.19,F,FRIGIDAIRE,0 12505 67638 3,012505676383,012505676383,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17G5AQ,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73431 1,012505734311,012505734311,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17G5AT,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73655 1,012505736551,012505736551,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17G5AW,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73430 4,012505734304,012505734304,,16' & OVER REFRIG TM - 15 & 17 CU FT
FRT17G5AZ,,,Electric,9,17' DYNAMIC REFRIGERATORS,16' & OVER REFRIG TM,15 & 17 CU FT,2.83,2.5,5.6,188,1.23,F,FRIGIDAIRE,0 12505 73654 4,012505736544,012505736544,,16' & OVER REFRIG TM - 15 & 17 CU FT
