Model,Model Desc,Product Type,Product Sub-Type,Brand,Class,Qty,Price,Total Amt,MSRP,Ext. MSRP,Cut
MFI2570FEZ,BTM FRENCH DOOR - ICE2O STEALTH 25',Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,MAY,Near Perfect,7,660,4620,2199,15393,KRFF706ESS
KRFF507ESS,27' EXT. I&W FDBM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,Near Perfect,2,900,1800,2999,5998,KRFF706ESS
WRF736SDAM,26' XXL EXT I&W FDBM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,Near Perfect,2,690,1380,2299,4598,KRFF706ESS
MFI2269FRZ,"33"" ICELAND EXT I&W",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,MAY,Near Perfect,2,660,1320,2199,4398,
WRF555SDFZ,BTM FRENCH DOOR - ICE2O STEALTH 25',Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,Near Perfect,2,630,1260,2099,4198,
WRB322DMBW,22' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,WHR,Near Perfect,3,420,1260,1399,4197,
KRMF706EBS,5 DOOR FULL DEPTH AK12 PLATFORM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,Near Perfect,1,1200,1200,3999,3999,
MFF2558FEZ,"36"" WIDE FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,MAY,Near Perfect,2,540,1080,1799,3598,
WRB329DFBW,19' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,WHR,Near Perfect,2,405,810,1349,2698,
KRFC300ESS,COUNTER DEPTH FDBM INTERNAL WATER,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,Near Perfect,1,690,690,2299,2299,
KRFF305EBS,"36"" WIDE 25' FDBM W/ INT WATER",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,Near Perfect,1,660,660,2199,2199,
MFC2062FEZ,"36"" WIDE CD FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,MAY,Near Perfect,1,660,660,2199,2199,
MBL1957FEZ,19' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,MAY,Near Perfect,1,510,510,1699,1699,
MBB1957FEW,19' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,MAY,Near Perfect,1,495,495,1649,1649,
WRB329DMBM,19' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,WHR,Near Perfect,1,450,450,1499,1499,
WRB322DMBM,22' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,WHR,Near Perfect,1,450,450,1499,1499,
MBF2258FEW,22' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,MAY,Near Perfect,1,420,420,1399,1399,
WRB322DMBB,22' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,WHR,Near Perfect,1,420,420,1399,1399,
ABB1921BRW,19' SWING BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,AMA,Near Perfect,1,300,300,999,999,
