Lot Number,Part Number,Manufacturer,Auction Category,Title,Condition Description,Weight,MSRP,Qty
BS18060,LMXS27626D,LG,Major Appliances,27 cu.ft. 4 Door French Door,Carton Damage - Unit OK,1089.0,9897.0,3.0
BS18060,LRG4115ST,LG,Major Appliances,6.3 cu.ft. Gas Oven EasyCleanSelf Clean True Con  vection  Smooth Touch,Carton Damage - Unit OK In House Damage,398.0,3298.0,2.0
BS18060,RF263BEAESR,SAMSUNG,Major Appliances,26 Cu.Ft. French Door Refrigerator,Carton Damage - Unit OK,337.0,2499.0,1.0
BS18060,FFHB2740PS,FRIGIDAIRE,Major Appliances,27 CF French Door Refrigerator w/ Ice and Water Dispenser,B-class - Damage Right Side,365.0,2349.0,1.0
BS18060,LDE4415BD,LG,Major Appliances,7.3 cu.ft. Double Electric Range EasyClean True   Convection  Infrared,Carton Damage - Unit OK,215.0,2089.0,1.0
BS18060,RF26HFENDSR,SAMSUNG,Major Appliances,26 Cu.Ft. French Door Refrigerator LED Twin Cool    Internal Ice,B-class - Damage Rear In House Damage,332.0,1999.0,1.0
BS18060,LDE4415ST,LG,Major Appliances,7.3 cu.ft. Double Electric Range EasyClean True   Convection  Infrared,B-class - Damage Left Side,215.0,1979.0,1.0
BS18060,FGHS2355PF,FRIGIDAIRE,Major Appliances,23 CF Side-by-Side Refrigerator ADA,B-class - Damage Right Side Not in Original Carto n,285.0,1599.0,1.0
BS18060,FGHC2331PF,FRIGIDAIRE,Major Appliances,23 CF Counter-Depth Side-by-Side Refrigerator ADA,B-class - Damage Rear No Carton,300.0,1599.0,1.0
BS18060,FFHS2622MS,FRIGIDAIRE,Major Appliances,26 CF Side-by-Side Refrigerator,Carton Damage - Unit OK,310.0,1249.0,1.0
BS18060,DW80J7550UG,SAMSUNG,Major Appliances,"24"" Dishwasher WaterWall Hidden Handle Zone Boos  ter",B-class - Damage Front,100.0,1199.0,1.0
BS18060,NE59J7630SG,SAMSUNG,Major Appliances,"30"" 5.9 Cu. Ft. True Convection Soft Close Door",Carton Damage - Unit OK In House Damage,185.0,1199.0,1.0
BS18060,FFSS2614QE,FRIGIDAIRE,Major Appliances,26 CF Side-by-Side Refrigerator Short Handles Sm  ooth Door,B-class - Damage Rear In House Damage,310.0,1099.0,1.0
BS18060,FFSS2614QP,FRIGIDAIRE,Major Appliances,26 CF Side-by-Side Refrigerator Short Handles Sm  ooth Door,B-class - Damage Right Side,310.0,1099.0,1.0
BS18060,FGHT1846QP,FRIGIDAIRE,Major Appliances,18.2 CF Top Mount Refrigerator Custom-Flex Door   ESTAR,Carton Damage - Unit OK In House Damage,205.0,999.0,1.0
BS18060,FFHT2131QE,FRIGIDAIRE,Major Appliances,20.5 CF Top Mount Refrigerator ESTAR,B-class - Damage Left/RIGHT SIDE NO CTN,220.0,929.0,1.0
BS18060,FFGF3053LS,FRIGIDAIRE,Major Appliances,"30"" Gas Range 5.0 CF Self Clean Oven",B-Class - No Carton,200.0,849.0,1.0
BS18060,FFFU14F2QW,FRIGIDAIRE,Major Appliances,13.8 CF Upright Freezer Frost-Free,B-class - Damage Left Side,180.0,649.0,1.0
BS18060,FFTR1514RW,FRIGIDAIRE,Major Appliances,14.6 CF Top Mount Refrigerator ADA,B-class - Damage Rear In House Damage,190.0,599.0,1.0
BS18060,DPF073C1WDB,DANBY,Small Appliances,7.3 CuFt Refer 3 Adjustable glass shelve Mechanic al Thermostat,Carton Damage - Unit OK,105.0,369.99,1.0
BS18060,FFBD2406NB,FRIGIDAIRE,Major Appliances,"24"" Built-In Dishwasher Hi-Temp Wash 60 DBA",Carton Damage - Unit OK,64.0,369.0,1.0
,,,,,,5915.0,37916.990000000005,24.0
