Lot Number,Part Number,Manufacturer,Auction Category,Title,Condition Description,Weight,MSRP,Qty
BS18070,R930CS,SHARP,Small Appliances,1.5 CF 900 Watts ConvectionSensor Interactive,Carton Damage - Unit OK,204.0,1739.97,3.0
BS18070,R1214T,SHARP,Small Appliances,1.5 CF 1100 Watt OTC Microwave,Carton Damage - Unit OK,165.0,1199.97,3.0
BS18070,R651ZS,SHARP,Small Appliances,"2.2 cu.ft 1200W with 16"" Tunrtable Sensor Keep    Warm Function",Carton Damage - Unit OK,250.0,949.95,5.0
BS18070,R551ZS,SHARP,Small Appliances,"1.8 cu.ft 1100W with 15"" tunrtable Sensor Softe   ning function",Carton Damage - Unit OK,200.0,679.96,4.0
BS18070,FFCM0934LS,FRIGIDAIRE,Major Appliances,0.9 CF 900 Watt Countertop Microwave 10 Power Lev els,Carton Damage - Unit OK,250.0,545.0,5.0
BS18070,R1875T,SHARP,Small Appliances,1.1 CF 850 Watt Convection Sensor OTR Interacti   ve; Black,B-class -bottom dents broken front frame on botto m  used,81.0,539.99,1.0
BS18070,R1875T,SHARP,Small Appliances,1.1 CF 850 Watt Convection Sensor OTR Interacti   ve; Black,Carton Damage - Unit OK,81.0,539.99,1.0
BS18070,R659YK,SHARP,Small Appliances,"2.2 cu.ft 1200W with 16"" Tunrtable Sensor Keep    Warm Function",Carton Damage - Unit OK,150.0,539.97,3.0
BS18070,R930AK,SHARP,Small Appliances,1.5 CF 900 Watts Convection Sensor Interactive,Carton Damage - Unit OK,68.0,469.99,1.0
BS18070,R930AW,SHARP,Small Appliances,1.5 CF 900 Watts Convection Sensor Interactive     System,C-class - Damage TopRight And Left Sides No Cart  on,69.0,459.99,1.0
BS18070,FFCE2278LS,FRIGIDAIRE,Major Appliances,2.2 CF 1200 Watt Countertop Microwave Multi-Stage  Sensor,B-class - Damage Top Used,100.0,438.0,2.0
BS18070,FGMO205KF,FRIGIDAIRE,Major Appliances,2.0 CF Built-In Microwave 1200 Watts,Carton Damage - Unit OK,70.0,419.0,1.0
BS18070,FGMO205KF,FRIGIDAIRE,Major Appliances,2.0 CF Built-In Microwave 1200 Watts,B-class - Damage Top,70.0,419.0,1.0
BS18070,FGMO205KF,FRIGIDAIRE,Major Appliances,2.0 CF Built-In Microwave 1200 Watts,B class- Used,70.0,419.0,1.0
BS18070,FGMO205KF,FRIGIDAIRE,Major Appliances,2.0 CF Built-In Microwave 1200 Watts,B class - Used,70.0,419.0,1.0
BS18070,FGMO205KF,FRIGIDAIRE,Major Appliances,2.0 CF Built-In Microwave 1200 Watts,B class - Packing in Poor Condition,70.0,419.0,1.0
BS18070,FGMO205KF,FRIGIDAIRE,Major Appliances,2.0 CF Built-In Microwave 1200 Watts,B-class - Damage Top Right Used Poor Packing,70.0,419.0,1.0
BS18070,FGMO205KF,FRIGIDAIRE,Major Appliances,2.0 CF Built-In Microwave 1200 Watts,C Class- Missing Plate,70.0,419.0,1.0
BS18070,R1514T,SHARP,Small Appliances,1.5 CF OTR Microwave,B Class- Used Poor Packing,66.0,359.99,1.0
BS18070,R659YW,SHARP,Small Appliances,"2.2 cu.ft 1200W with 16"" Turntable Sensor Keep    Warm Function",Carton Damage - Unit OK,100.0,359.98,2.0
BS18070,FFMV164LS,FRIGIDAIRE,Major Appliances,"30"" Over-the-Range Microwave 2-Speed Ventilation   1.6 CF  1000 Watt",B class- Used,70.0,309.0,1.0
BS18070,FFMV164LS,FRIGIDAIRE,Major Appliances,"30"" Over-the-Range Microwave 2-Speed Ventilation   1.6 CF  1000 Watt",Carton Damage - Unit OK,70.0,309.0,1.0
BS18070,FFMV164LS,FRIGIDAIRE,Major Appliances,"30"" Over-the-Range Microwave 2-Speed Ventilation   1.6 CF  1000 Watt",C-Class - No Carton Used,70.0,309.0,1.0
BS18070,R530EST,SHARP,Small Appliances,2.0 CF 1200 Watts New Glass Window Lets Cook D    efrost  Sensor,Carton Damage - Unit OK,50.0,299.99,1.0
BS18070,R530EST,SHARP,Small Appliances,2.0 CF 1200 Watts New Glass Window Lets Cook D    efrost  Sensor,B-class - Damage Top,50.0,299.99,1.0
BS18070,ME16H702SEW,SAMSUNG,Major Appliances,1.6 Cu.Ft. OTR Microwave,Carton Damage - Unit OK,60.0,299.0,1.0
BS18070,R451ZS,SHARP,Small Appliances,"1.3 Cu Ft 1000w microwave w/ 12.75"" turntable Sen sor",Carton Damage - Unit OK,82.0,279.98,2.0
BS18070,R1210T,SHARP,Small Appliances,1.5 CF OTC Size Auto Touch OTC Microwave,C-class - Damage back bottom,55.0,259.99,1.0
BS18070,NN-SD945S,PANASONIC,Small Appliances,1250W 2.2 cu ft. Sensor Stainless Front & Silver   Body  Dial Co,Carton Damage - Unit OK,50.0,259.95,1.0
BS18070,NN-SN966S,PANASONIC,Small Appliances,1250W 2.2 cu ft. Sensor Stainless Front & Silver   Body  Flat P,Carton Damage - Unit OK,41.0,249.95,1.0
BS18070,R1210,SHARP,Small Appliances,1.5 CF OTC  Black Size Auto Touch OTC Microwave;   Black,Carton Damage - Unit OK,51.0,249.9,1.0
