Lot Number,Part Number,Manufacturer,Auction Category,Title,Condition Description,Weight,MSRP,Qty
BS18080,NY58J9850WS,SAMSUNG,Major Appliances,"30"" 5.8 Cu. Ft. Dual Fuel; Flex Duo w/Dual Door; 22K True Dual Burner;",D-Class,255.0,3499.0,1.0
BS18080,EA108T,FRIGIDAIRE,Seasonal,"Through The Wall Sleeve Kit (18"" Sleeve)",D-Class,800.0,3199.68,32.0
BS18080,FGHB2866PE,FRIGIDAIRE,Major Appliances,28 CF French Door Refrigerator w/ Ice and Water Dispenser  ESTAR,D-Class,365.0,2549.0,1.0
BS18080,FGIS3065PF,FRIGIDAIRE,Major Appliances,"30"" Slide-In Induction Range Self Clean",D-Class,236.0,2499.0,1.0
BS18080,FGES3065PF,FRIGIDAIRE,Major Appliances,"30"" Smooth Top Electric Slide-In Range w/ 4.6 CF Self Clean Oven  ADA",D-Class,204.0,1799.0,1.0
BS18080,WM3477HW,LG,Major Appliances,"2.3 cuft Washer/Dryer Combo 1300 RPM;  White; 24""",D-Class,168.0,1759.99,1.0
BS18080,FFLE4033QT,FRIGIDAIRE,Major Appliances,3.9 CF / 5.5 CF High Efficiency Laundry Center El ectric Dryer  240V,D-Class,280.0,1699.0,1.0
BS18080,DGUS2645LF,FRIGIDAIRE,Major Appliances,26 CF Side-by-Side Refrigerator ESTAR (DERIVATIVE ),D-Class,270.0,1499.0,1.0
BS18080,X56WMEF1BLK,AF Lighting,Home,"56"" Wall Mount or Flush Install Electronic Fireplace  Remote  Crystals",D-Class,300.0,1440.22,6.0
BS18080,LW2516ER,LG,Seasonal,24500 BTU Electronic AC with Remote (230V) - 2016  EStar,D-Class,298.0,1399.98,2.0
BS18080,E66130SS,BROAN,Small Appliances,"Elite 30"" Range Hood 600 CFM Blower Dual 50W Hal  ogen Lights",D-Class,36.0,1215.28,1.0
BS18080,CL30XC,AF Lighting,Seasonal,63 Pint Indoor Portable Evaporative Air Cooler,D-Class,116.0,1199.96,4.0
BS18080,LDF8874ST,LG,Major Appliances,Fully Integrated DW 3rd Rack TrueSteam 42dba,D-Class,116.0,1199.0,1.0
BS18080,R1874T,SHARP,Small Appliances,1.1 CF 850 Watt OTR Convection Microwave; Stainle ss,D-Class,168.0,1159.98,2.0
BS18080,FFSS2614QP,FRIGIDAIRE,Major Appliances,26 CF Side-by-Side Refrigerator Short Handles Sm  ooth Door,D-Class,241.0,1099.0,1.0
BS18080,273003,BROAN,Small Appliances,"30"" Downdraft w/ Top Cover 500 CFM                                      30"" wide cooktops.",D-Class,76.0,1017.06,1.0
BS18080,WF42H5200AW,SAMSUNG,Major Appliances,4.2 Cu. Ft. Front Load Washer 5200 Series,D-Class,203.0,999.0,1.0
BS18080,433004,BROAN,Small Appliances,"30"" Range Hood 2-Speed Rocker 220 CFM",D-Class,75.0,995.8,5.0
BS18080,RM503004,BROAN,Small Appliances,"30"" Wall-Mounted Chimney Hood 290 CFM",D-Class,35.0,976.4,1.0
