Lot Number,Part Number,Manufacturer,Auction Category,Title,Condition Description,Weight,MSRP,Qty
BS18030,UN75JU7100F,SAMSUNG,Television,"75""LED Flat ULTRA HDTV3840x21604k240Hz3DSmart      TV w/WiFi Voice 4-HDM",B- Class,115.0,5999.99,1.0
BS18030,UN75J6300AF,SAMSUNG,Television,"75""LED HDTV1080p120HzWiFiQuad CoreSmart Hub2      -HDMI.2-USB 1-Componen",B-class - Damage Front B-class - Damage Rear                    B-class - Damage Glass                                                                   dents on back on screen,95.0,3999.99,1.0
BS18030,UN55KS9000F,SAMSUNG,Television,"55""LED Flat S-ULTRA HDTVQuantum Dot3840x21604k    240Hz Prem.Smart WiFi",B-class - Damage Front B-class - Damage Glass                 ,54.0,2799.99,1.0
BS18030,UN60KS8000F,SAMSUNG,Television,"60""LED Flat S-ULTRA HDTVQuantum Dot3840x21604k    240Hz Smart WiFi 4-HD",B-class - Damage Front B-class - Damage Glass                                                        Frame is loose around the entire screen,0.0,2799.99,1.0
BS18030,UN40J6200AF,SAMSUNG,Television,"40""LED HDTV1080p120HzWiFiSmart Hub2-HDMI.2-US     B 1-Component 1-Compos",B-class - Damage Front                                          Frame is loose from top of tv,23.0,799.99,1.0
BS18030,UN43J5200AF,SAMSUNG,Television,"43""LED HDTV1080p60HzWiFiSmart2-HDMI2-USB1-C       omp Micro-Dimming Pro",C-class - Damage Glass                                        ,24.0,749.99,1.0
BS18030,UN43J5200AF,SAMSUNG,Television,"43""LED HDTV1080p60HzWiFiSmart2-HDMI2-USB1-C       omp Micro-Dimming Pro",B-class - Damage Front                                          SEPERATION FROM FRAME                                           SCRATCHED SCREEN,24.0,749.99,1.0
BS18030,LC-55LE653U,SHARP,Television,"55""LED HDTV1080p60HzAQUOMOTION 1202-HDMI1-MHL      1-USB Smart w/WiFi",B-class - Damage Front B-class - Damage Glass                   Scratches on frame and center of screen,49.0,699.99,1.0
BS18030,UN40H5003AF,SAMSUNG,Television,"40""LED HDTV1080p60Hz120CMR",B-class - Damage Front                                          Seperation on frame                                             scratches on screen,26.0,549.99,1.0
BS18030,LC-32LE653U,SHARP,Television,"32""LED HDTV1080p60Hz1-HDMI1-MHL1-USB1-CompS       mart Central w/WiFi",B-class - Damage Rear                                           Scratch on back,16.0,319.99,1.0
,,,,,,426.0,19469.9,10.0
