Lot Number,Part Number,Manufacturer,Auction Category,Title,Condition Description,Weight,MSRP,Qty
BS18040,UD55E-A,SAMSUNG,Pro,55-inch Ultra Narrow Bezel Commercial LED LCD Display - TAA,D-Class,62.0,7270.91,1.0
BS18040,UD46E-A,SAMSUNG,Pro,46-inch Ultra Narrow Bezel Commercial LED LCD Display - TAA,D-Class,30.0,5816.36,1.0
BS18040,UD55E-B,SAMSUNG,Pro,"55""Ultra narrow bezel LED LCD Display-TAA",D-Class,81.0,5634.55,1.0
BS18040,UN55HU8550F,SAMSUNG,Television,"55""LED Flat ULTRA HDTV3840x21604k1200CMR3DSma     rt TV w/WiFi 4-Glasses",Tech to Check-Screen does not work but is not bro ken.,56.0,3999.99,1.0
BS18040,UN75J6300AF,SAMSUNG,Television,"75""LED HDTV1080p120HzWiFiQuad CoreSmart Hub2      -HDMI.2-USB 1-Componen",Tech to Check pixel issues,95.0,3999.99,1.0
BS18040,PN-E603,SAMSUNG,Pro,"60""LED edge lit LCD monitor Landscape or Portrait 1920x1080",Cracked Screen Scrap Product                                    Crack in the backcenter of TV                                   Scratch down the center of the backside,71.0,3695.0,1.0
BS18040,UN65JU7100F,SAMSUNG,Television,"65""LED Flat ULTRA HDTV3840x21604k240Hz3DSmart      TV w/WiFi Voice 4-HDM",D.O.A.,76.0,3499.99,1.0
BS18040,UN60JU6500F,SAMSUNG,Television,"60""LED Flat ULTRA HDTV3840x21604k120HzSmart TV     w/WiFi 4-HDMI 3-USB",D.O.A. ,67.0,2499.99,1.0
BS18040,UN55JU7100F,SAMSUNG,Television,"55""LED Flat ULTRA HDTV3840x21604k240Hz3DSmart      TV w/WiFi Voice 4-HDM",Tech to Check pixel issues horizontal line in sc  reen  left    ,48.0,2199.99,1.0
BS18040,DM55E,SAMSUNG,Pro,"55""LED LCD display-TAA w/magicinfo player w/spkrs slim bezel",Cracked Screen RA denied,43.0,2077.0,1.0
BS18040,UN50JU7100F,SAMSUNG,Television,"50""LED Flat ULTRA HDTV3840x21604k240Hz3DSmart      TV w/WiFi Voice 4-HDM",Pixel issues,42.0,1899.99,1.0
BS18040,UN60J6200AF,SAMSUNG,Television,"60""LED HDTV1080p120HzWiFiSmart Hub2-HDMI.2-US     B 1-Component 1-Compos",Tech to Check pixel issues line down right side   ,75.0,1699.99,1.0
BS18040,DC55E,SAMSUNG,Pro,"55""LED LCD commercial display - TAA",D-Class,47.0,1654.0,1.0
BS18040,LC-60LE661U,SAMSUNG,Pro,"60""LED HDTV1080p120HZ240AquomotionWiFiSmart3      -HDMI 1-USB MHL RS-232",Cracked Screen,72.0,1429.0,1.0
BS18040,DM40E,SAMSUNG,Pro,"40""LED LCD commercial display-TAA with built in magicinfo player",D-Class,20.0,1038.0,1.0
BS18040,DM32E,SAMSUNG,Pro,"32""LED LCD commercial display-TAA with built in magicinfo player",D-Class,13.0,769.0,1.0
BS18040,HG50ND477SFXZA,SAMSUNG,Pro,"50""Slim Direct Lit LED Pro:Idiom and Lynk Digital rights management",D-Class,31.0,700.0,1.0
BS18040,HG46NA570LBXZA,SAMSUNG,Pro,"46""Hospitality FHD 1920x1080 LED backlite",D-Class,38.0,677.0,1.0
BS18040,HG43ND470SFXZA,SAMSUNG,Pro,"43""Slim Direct lit LED Link only digital rights management",D-Class,31.0,522.0,1.0
BS18040,43LW340C,SAMSUNG,Pro,"43"" LED Backlit LCD TV Public Display Mode 1920   x 1080",D-Class,38.0,513.0,1.0
BS18040,CONTROL 25,SAMSUNG,Pro,"5.25"" 2-way vented system built in Invisiball ins tallation SOLD IN PAIR",D-Class,12.0,346.0,1.0
BS18040,HG28NC677AFXZA,SAMSUNG,Pro,"28"" Hospitality HDTV 1366x768 LED Backlight",D-Class,11.0,332.0,1.0
BS18040,LTM1U,CHIEF,Pro,Large height adjustable tilt wall mount,D-Class,22.0,320.0,1.0
,,,,,,1081.0,52593.75,23.0
