Lot Number,Part Number,Manufacturer,Auction Category,Title,Condition Description,Weight,MSRP,Qty
BS28320,FGHB2867TD,FRIGIDAIRE,Major Appliances,27.1 CF French Door Refrigerator with Ice and Water Dispenser,BG#96 Carton Damage - Unit OK,1388,11396,4
BS28320,RF30KMEDBSG,SAMSUNG,Major Appliances,30 cf 4-dr Refrigerator with French Door Food Showcase  Counter Depth,BG#96 B-class - Damage Left Side,405,4099,1
BS28320,NX58K9850SS,SAMSUNG,Major Appliances,"30"" Gas Slide In Range Flex Duo Dual Door 22k B   TU  Wi-Fi  LED Knobs",BG#96 B-class - Damage Rear,270,3899,1
BS28320,FFFH17F4QT,FRIGIDAIRE,Major Appliances,16.6 CF Upright Freezer Frost-Free ESTAR,BG#96 Carton Damage - Unit OK,792,3796,4
BS28320,LFXC24726S,LG,Major Appliances,"24 CF Counter-Depth French Door 36"" Wide Dispens  er",BG#96 B-class - Damage Left Side,350,3739,1
BS28320,FPBG2277RF,FRIGIDAIRE,Major Appliances,22.6 CF Counter-Depth Non-Dispenser French Door Refrigerator,BG#96 B-class - Damage Rear,345,3199,1
BS28320,FGHF2366PF,FRIGIDAIRE,Major Appliances,23 CF Counter-Depth French Door Refrigerator w/ Ice and Water Dispenser,BG#96 Carton Damage - Unit OK,365,2949,1
BS28320,LDE4415BD,LG,Major Appliances,"7.3 CF / 30"" Double Electric Range ProBake Convec tion",B-Class,215,2089,1
BS28320,LDE4415BD,LG,Major Appliances,"7.3 CF / 30"" Double Electric Range ProBake Convec tion",BG#96 Carton Damage - Unit OK,215,2089,1
BS28320,RC30DG60PS,FRIGIDAIRE,Major Appliances,"30"" Gas Built-In Downdraft Cooktop",BG#96 B-Class - No Carton,76,1799,1
BS28320,FFLE4033QT,FRIGIDAIRE,Major Appliances,3.9 CF / 5.5 CF High Efficiency Laundry Center El ectric Dryer  240V,BG#96 B-class - Damage Left Side B-class - Damag  e Right Side,280,1699,1
BS28320,RF18HFENBWW,SAMSUNG,Major Appliances,18 Cu.Ft. French Door Refrigerator,BG#96 B-class - Damage Front B-class - Damage Re  ar,257,1399,1
BS28320,DV45K6500GW,SAMSUNG,Major Appliances,7.5 Cu.Ft. Gas Dryer 6500 Series,BG#96 B-class - Damage Left Side B-class - Damag  e Rear,134,1399,1
BS28320,NX58J5600SG,SAMSUNG,Major Appliances,"30"" Gas Range",BG#96 B-class - Damage Left Side B-class - Damag  e Right Side,216,1349,1
BS28320,DV45K6500EW,SAMSUNG,Major Appliances,7.5 Cu.Ft. Electric Dryer 6500 Series,BG#96 B-class - Damage Left Side B-class - Damag  e Right Side,129,1299,1
BS28320,DV45K6200EW,SAMSUNG,Major Appliances,7.5 Cu.Ft. Electric Dryer 6200 Series,BG#96 Carton Damage - Unit OK,130,1099,1
BS28320,WF42H5200AP,SAMSUNG,Major Appliances,4.2 Cu. Ft. Front Load Washer 5200 Series,BG#96 Carton Damage - Unit OK,203,1099,1
BS28320,FGEF3035RF,FRIGIDAIRE,Major Appliances,"30"" Electric Smooth Top Range 5.7 CF Self Clean O ven",BG#96 B-class - Damage Rear,180,999,1
BS28320,DLG4971W,LG,Major Appliances,7.4 CF Gas Top Load Dryer Rear Controls,BG#96 B-class - Damage Left Side B-class - Damag  e Rear,147,989,1
BS28320,DLEY1701W,LG,Major Appliances,7.4 CF Electric SteamDryer Front Controls Glass   Door,BG#96 B-class - Damage Rear,152,989,1
BS28320,RT18M6215SR,SAMSUNG,Major Appliances,18cf Top Mount Refrigerator  - Factory installed Ice Maker,BG#96 B-class - Damage Right Side,216,949,1
BS28320,FFFH20F2QW,FRIGIDAIRE,Major Appliances,20.2 CF Upright Freezer Frost-Free ESTAR,BG#96 B-class - Damage Rear,191,929,1
BS28320,FFSS2618SS,FRIGIDAIRE,Major Appliances,25.6 CF Side-by-Side Refrigerator w/ ICE Designer  Handles (BSTO),BG#96 B-class - Damage Left Side B-class - Damag  e Right Side,310,899,1
BS28320,EFDE317TIW,Electrolux,Major Appliances,8.0 CF Electric Dryer 5 Cycles Estar Reversible    Door,BG#96 B-class - Damage Rear,140,879,1
BS28320,FFTR2021QW,FRIGIDAIRE,Major Appliances,20.4 CF Top Mount Refrigerator (BSTO Model),BG#96 B-class - Damage Front B-class - Damage Re  ar,220,829,1
BS28320,FFEF3048LS,FRIGIDAIRE,Major Appliances,"30"" Electric Smooth Top Range 5.3 CF Self Clean O ven",BG#96 Carton Damage - Unit OK,200,799,1
BS28320,DW80K5050US,SAMSUNG,Major Appliances,"24"" Dishwasher 46 dBA 6 Cycle; Touch Controls",BG#96 B-class - Damage Front,106,799,1
BS28320,SMC1585BS,SHARP,Small Appliances,1.5 CF 900 Watts Convection Sensor Interactive,BG#96 Carton Damage - Unit OK,63,749.99,1
BS28320,WA45M7050AW,SAMSUNG,Major Appliances,4.5 cf TL washer w/ VRT,BG#96 B-class - Damage Front,136,749,1
BS28320,FFHT1614QW,FRIGIDAIRE,Major Appliances,16.3 CF Top Mount Refrigerator ADA ESTAR,BG#96 Carton Damage - Unit OK,158,719,1
BS28320,FFTR1814QW,FRIGIDAIRE,Major Appliances,18 CF Top Mount Refrigerator ADA,BG#96 B-class - Damage Left Side B-class - Damag  e Right Side,205,629,1
BS28320,FFCE2238LB,FRIGIDAIRE,Major Appliances,2.2 CF 1200 Watt Countertop Microwave Multi-Stage  Sensor,BG#96 Carton Damage - Unit OK,150,627,3
BS28320,GTD42EASJWW,GE,Major Appliances,7.2 CF Electric Dryer Reversible Door Long Venti  ng,BG#96 B-class - Damage Rear,115,599,1
BS28320,ME18H704SFG,SAMSUNG,Major Appliances,1.8 Cu.Ft. OTR Microwave,BG#96 Carton Damage - Unit OK,63,449,1
BS28320,R651ZS,SHARP,Small Appliances,"2.2 cu.ft 1200W with 16"" Tunrtable Sensor Keep    Warm Function",BG#96 Carton Damage - Unit OK,100,379.98,2
BS28320,R659YK,SHARP,Small Appliances,"2.2 cu.ft 1200W with 16"" Tunrtable Sensor Keep    Warm Function",BG#96 Carton Damage - Unit OK,100,359.98,2
BS28320,FFMV162LB,FRIGIDAIRE,Major Appliances,"30"" Over-the-Range Microwave 2-Speed Ventilation   1.6 CF  1000 Watt",BG#96 Carton Damage - Unit OK,70,269,1
BS28320,DCR031B1BSLDD,DANBY,Small Appliances,3.1 CuFt. RefrigIndependant Freezer SectionInter  ion Light,BG#96 Carton Damage - Unit OK,55,249.99,1
BS28320,NN-SN766S,PANASONIC,Small Appliances,1.6 Cu. Ft. 1250 Watt Microwave Stainless Steel,BG#96 Carton Damage - Unit OK,36,239.95,1
BS28320,LCRT2010ST,LG,Major Appliances,2.0 CF Countertop Microwave,BG#96 Carton Damage - Unit OK,44,209,1
BS28320,RK52S27,SHARP,Small Appliances,"27"" Built-in Trim Kit For R651ZS",BG#96 Carton Damage - Unit OK,11,199.99,1
BS28320,TRIMKITEZ1,FRIGIDAIRE,Major Appliances,"79"" Louvered / Collar Single Trim Kit for All-Refrigerator/Freezer",BG#96 Carton Damage - Unit OK,35,199.99,1
BS28320,DMW077BLSDD,DANBY,Small Appliances,700W Microwave 0.7Cu.Ft 10 power levels Oval doo  r design,BG#96 Carton Damage - Unit OK,48,179.98,2
BS28320,R-309YW,SHARP,Small Appliances,"1.1 cu ft 1000w touch microwave 11.25"" turntable",BG#96 Carton Damage - Unit OK,35,109.99,1
BS28320,FFCM0724LW,FRIGIDAIRE,Major Appliances,0.7 CF 700 Watt Countertop Microwave 10 Power Lev els,BG#96 Carton Damage - Unit OK,50,89,1
